German,English
jung,young
vier,four
besser,better
fast,nearly
schnell,fast
Stadt,city
spielen,to play
zwar,that is
Euro,Euro
Arbeit,work
Million,million
Problem,problem
verstehen,to understand
bekommen,receive
meinen,say
davon,of that
fahren,ride
kennen,know
dich,you
Mutter,mother
Woche,Week
Weg,path
weiter,continue
Auge,Eye
oft,often
Leute,people
allerdings,Indeed
sogar,even
jedoch,however
setzen,put
deshalb,for this reason
weit,far
sitzen,to sit
Vater,Father
dein,your
arbeiten,work
Geld,money
Unternehmen,company
nächste,next
erklären,to explain
klar,clear
Doktor,doctor
Paar,Pair
Recht,Right
wegen,because
dir,to you
Wasser,water
bestehen,consist
versuchen,to attempt
Punkt,Point
Grund,reason
Kopf,head
beginnen,kick off
laufen,to run
Bild,picture
verschieden,different
Name,Surname
Aufgabe,task
schwer,difficult
entsprechen,correspond
treffen,meet
Art,Kind
wohl,well
Geschichte,story
erzählen,tell
entstehen,develop
sicher,secure
neben,Next
allein,alone
Abbildung,Illustration
hinter,Behind
besonders,particularly
tragen,wear
kaum,hardly
Freund,friend
fünf,five
scheinen,seem
Stunde,Hour
aussehen,appearance
gern,gladly
überhaupt,at all
bestimmt,definitely
sowie,such as
Professor,professor
darüber,about it
deren,whose
schaffen,create
damals,back then
erhalten,obtain
lernen,to learn
frei,free
Wert,value
beziehungsweise,or
daran,to it
suchen,search
Europa,Europe
gemeinsam,together
rund,around
Zahl,Number
Thema,theme
handeln,act
Buch,A book
bisschen,little
deutlich,clear
anders,different
politisch,politically
lesen,read
Blick,View
Form,shape
einzeln,individually
erreichen,reach
vergehen,pass
leicht,easy
je,ever
verlieren,to lose
beste,best
bilden,form
Monat,Month
Lösung,solution
Sache,Matter
bekannt,famous
Ziel,goal
steigen,climb
eher,rather
essen,eat
Minute,minute
Nacht,Night
Platz,Place
schlecht,bad
Spiel,Game
Familie,family
jemand,someone
dessen,whose
fallen,fall
zehn,ten
Preis,Price
europäisch,European
sonst,otherwise
Staat,Country
helfen,help
Bereich,area
tatsächlich,indeed
Ort,location
Abend,evening
einzig,only
Stelle,Job
unterschiedlich,different
Gesicht,face
Entwicklung,development
Uhr,watch
mehrere,several
schließen,conclude
schließlich,finally
legen,lay
direkt,direct
daher,therefore
offen,open minded
erkennen,recognize
Person,person
Moment,moment
Schule,school
darin,in this
Auto,automobile
niemand,nobody
Gesellschaft,company
warten,waiting
vorstellen,introduce
früh,early
treten,to step
reden,talk
Gruppe,group
Ding,thing
na,n / A
gewinnen,to win
zunächst,next
damit,in order to
Tür,door
Schritt,Step
entwickeln,to develop
meiste,most
Möglichkeit,possibility
Sinn,sense
passieren,happen
manchmal,sometimes
Vergleich,comparison
System,system
Rolle,role
Ergebnis,result
vergleichen,to compare
voll,fully
erwarten,expect
obwohl,although
Straße,street
Angst,fear
allgemein,general
fühlen,feel
jene,those
erinnern,recall
oh,Oh
bedeuten,mean
Stimme,Voice
Reaktion,reaction
wirken,works
darstellen,represent
Raum,Space
Eltern,parents
bezeichnen,describe
Funktion,function
häufig,often
erscheinen,appear
Vereinigte Staaten von Amerika,United States of America
Flüchtling,refugee
früher,earlier
pro,Per
ergeben,result
entscheiden,decide
Universität,university
betreffen,affect
oben,above
Richtung,Direction
bestimmen,determine
fehlen,absence
Sprache,language
Produkt,product
Situation,situation
außerdem,Furthermore
nämlich,namely
international,international
Anfang,beginning
sechs,six
nutzen,use
sozial,social
Folge,Consequence
Satz,Sentence
manche,some
Verbindung,connection
beschreiben,describe
Licht,light
ähnlich,similar
Regel,Rule
gegenüber,opposite to
Kollege,colleague
bisher,so far
tief,deep
halb,half
lachen,laugh
ebenfalls,Likewise
sofort,right away
Grenze,Border
ändern,to change
Entscheidung,decision
verlassen,leaving
Idee,idea
verbinden,associate
Milliarde,billion
endlich,Finally
Energie,energy
plötzlich,suddenly
danach,after that
Kraft,power
lieber,rather
gehören,belong
einsetzen,insert
Gefühl,feeling
trotzdem,despite it
befinden,condition
Information,information
dadurch,through this
dagegen,against it
Weise,Way
Zukunft,future
wachsen,grow
bitte,You're welcome
weiß,White
Text,text
schwarz,black
sterben,to die
Markt,market
rot,red
halt,just
Meter,meter
nahe,vicinity
Hilfe,Help
Kapitel,Chapter
ausgehen,go out
Bedeutung,meaning
betrachten,consider
Chemie,Chemistry
Luft,Air
Körper,Body
Struktur,structure
stimmen,vote
bitten,request
Jahrhundert,century
wahrscheinlich,probably
öffentlich,publicly
euch,to you
insgesamt,all in all
anfangen,begin
genug,enough
Deutsche,German
verändern,change
Wohnung,apartment
gelingen,succeed
bald,soon
gering,small amount
Film,Movie
kaufen,to buy
ansehen,watch
öffnen,to open
Musik,music
schauen,watch
Stück,piece
besondere,special
tot,dead
Gott,God
völlig,fully
positiv,positive
Gespräch,conversation
darum,therefore
Kunde,customer
Menge,quantity
Regierung,government
Antwort,answer
annehmen,Accept
falsch,not correct
Zusammenhang,connection
langsam,slow
Arm,poor
nachdem,after
Tisch,table
rufen,call
bieten,Offer
Herz,heart
zusammen,together
inzwischen,in the meantime
ebenso,as well
Boden,floor
bevor,before
verwenden,use
Politik,politics
Tod,Death
Erfolg,success
zudem,in addition
Bank,Bank
ab,away
persönlich,personally
Präsident,president
holen,to fetch
Junge,Young
sogenannt,so -called
Polizei,police
Chance,chance
gewiss,certainly
innerhalb,inside
Kunst,art
Lage,location
Schüler,pupils
gesamt,total
Druck,Print
verschwinden,disappear
wohnen,reside
bewegen,move
enthalten,contain
aufnehmen,"record, tape"
Kosten,Costs
Wintersemester,Winter semester
merken,notice
fest,Celebration
aktuell,currently
Begriff,expression
erleben,experience
relativ,relative
laut,according to
Fuß,Foot
Daten,Data
Krieg,War
Gast,Guest
Aussage,expression
Gesetz,Law
planen,to plan
schwierig,difficult
Gut,Good
Kilometer,kilometre
zusätzlich,additionally
vergessen,to forget
Gedanke,Thought
besitzen,own
ach,Oh
Partei,Political party
freuen,be happy
hängen,hang
berichten,to report
Zelle,cell
eng,closely
Kultur,Culture
Prozess,process
Sohn,Son
Dank,Thanks to
trotz,despite
fordern,demand
studieren,to study
